Год,Акции всего мира (all cap),Акции РФ,Гос. облигации РФ (до 3 лет),Корп. облигации РФ (до 3 лет),ОПИФ российских облигаций,Жильё в РФ,Золото,Серебро
2011,-8.29%,-20.17%,-0.22%,0.80%,2.25%,-24.22%,10.06%,-8.40%
2012,3.02%,1.05%,2.57%,1.66%,5.12%,9.64%,-7.37%,-5.92%
2013,25.05%,-1.13%,-1.73%,1.78%,-1.31%,-5.90%,-27.64%,-34.10%
2014,60.29%,-12.72%,-12.62%,-10.59%,-29.17%,-7.64%,52.55%,26.42%
2015,12.23%,15.99%,4.89%,3.78%,19.27%,-14.18%,0.62%,-0.71%
2016,-14.43%,24.74%,2.03%,4.56%,7.53%,-8.99%,-14.68%,-7.20%
2017,14.82%,-3.59%,7.85%,7.46%,8.91%,-5.40%,2.59%,-3.80%
2018,4.02%,13.09%,0.97%,2.03%,-1.53%,0.63%,13.22%,6.08%
2019,9.31%,33.09%,9.00%,8.50%,10.79%,3.46%,1.79%,0.95%
2020,32.24%,8.37%,2.25%,2.74%,3.30%,8.65%,39.85%,66.95%
2021,9.69%,11.25%,-10.01%,-6.54%,-9.04%,6.05%,-11.59%,-19.13%
2022,-30.99%,-44.51%,-2.24%,-2.86%,-8.97%,9.93%,-16.62%,-12.27%
2023,44.32%,41.79%,-4.98%,-3.38%,1.94%,-3.89%,33.74%,17.94%
