Год,Акции РФ,Гос. облигации РФ,Депозиты в рублях (до года),Доллар США,Евро,Жильё в РФ,Золото,Серебро
2003,42.69%,14.05%,0.10%,-17.25%,-0.69%,7.91%,-0.26%,5.81%
2004,-4.93%,-0.75%,-1.55%,-15.68%,-8.10%,14.90%,-12.37%,-3.67%
2005,65.02%,0.65%,-1.10%,-6.49%,-18.49%,11.45%,8.44%,21.16%
2006,54.24%,-1.89%,-0.64%,-16.07%,-6.88%,51.55%,2.97%,22.61%
2007,-0.30%,-4.06%,-3.91%,-16.67%,-7.42%,15.25%,8.57%,-4.65%
2008,-70.81%,-16.63%,-5.54%,5.66%,1.81%,5.65%,8.18%,-22.76%
2009,105.76%,24.38%,0.83%,-5.39%,-3.77%,-13.95%,19.56%,48.98%
2010,14.03%,2.18%,3.85%,-7.36%,-14.54%,4.27%,17.16%,67.01%
2011,-20.17%,-0.29%,2.03%,-0.43%,-2.62%,-24.22%,10.06%,-8.40%
2012,1.05%,7.58%,2.76%,-11.48%,-9.41%,9.64%,-7.37%,-5.92%
2013,-1.13%,-2.51%,2.99%,1.21%,4.99%,-5.90%,-27.64%,-34.10%
2014,-12.72%,-23.09%,-2.73%,54.37%,36.48%,-7.64%,52.55%,26.42%
2015,15.99%,14.74%,2.14%,14.74%,3.28%,-14.18%,0.62%,-0.71%
2016,24.74%,8.95%,4.37%,-21.03%,-24.03%,-8.99%,-14.68%,-7.20%
2017,-3.59%,10.03%,5.75%,-7.36%,5.28%,-5.40%,2.59%,-3.80%
2018,13.09%,-2.05%,2.86%,15.68%,10.67%,0.63%,13.22%,6.08%
2019,33.09%,16.50%,4.40%,-13.48%,-15.28%,3.46%,1.79%,0.95%
2020,8.37%,3.54%,0.97%,13.75%,24.66%,8.65%,38.84%,66.95%
2021,11.25%,-12.30%,-3.60%,-7.22%,-14.47%,6.05%,-10.95%,-19.13%
2022,-44.51%,-7.34%,-3.75%,-15.42%,-19.61%,9.93%,-16.62%,-12.27%
2023,41.79%,-6.20%,0.66%,18.70%,22.05%,-6.75%,33.74%,17.94%
2024,42.69%,14.05%,0.10%,-17.25%,-0.69%,7.91%,-0.26%,5.81%
2025,-4.93%,-0.75%,-1.55%,-15.68%,-8.10%,14.90%,-12.37%,-3.67%
2026,65.02%,0.65%,-1.10%,-6.49%,-18.49%,11.45%,8.44%,21.16%
2027,54.24%,-1.89%,-0.64%,-16.07%,-6.88%,51.55%,2.97%,22.61%
2028,-0.30%,-4.06%,-3.91%,-16.67%,-7.42%,15.25%,8.57%,-4.65%
2029,-70.81%,-16.63%,-5.54%,5.66%,1.81%,5.65%,8.18%,-22.76%
2030,105.76%,24.38%,0.83%,-5.39%,-3.77%,-13.95%,19.56%,48.98%
2031,14.03%,2.18%,3.85%,-7.36%,-14.54%,4.27%,17.16%,67.01%
2032,-20.17%,-0.29%,2.03%,-0.43%,-2.62%,-24.22%,10.06%,-8.40%
2033,1.05%,7.58%,2.76%,-11.48%,-9.41%,9.64%,-7.37%,-5.92%
2034,-1.13%,-2.51%,2.99%,1.21%,4.99%,-5.90%,-27.64%,-34.10%
2035,-12.72%,-23.09%,-2.73%,54.37%,36.48%,-7.64%,52.55%,26.42%
2036,15.99%,14.74%,2.14%,14.74%,3.28%,-14.18%,0.62%,-0.71%
2037,24.74%,8.95%,4.37%,-21.03%,-24.03%,-8.99%,-14.68%,-7.20%
2038,-3.59%,10.03%,5.75%,-7.36%,5.28%,-5.40%,2.59%,-3.80%
2039,13.09%,-2.05%,2.86%,15.68%,10.67%,0.63%,13.22%,6.08%
2040,33.09%,16.50%,4.40%,-13.48%,-15.28%,3.46%,1.79%,0.95%
2041,8.37%,3.54%,0.97%,13.75%,24.66%,8.65%,38.84%,66.95%
2042,11.25%,-12.30%,-3.60%,-7.22%,-14.47%,6.05%,-10.95%,-19.13%
2043,-44.51%,-7.34%,-3.75%,-15.42%,-19.61%,9.93%,-16.62%,-12.27%
2044,41.79%,-6.20%,0.66%,18.70%,22.05%,-6.75%,33.74%,17.94%
2045,42.69%,14.05%,0.10%,-17.25%,-0.69%,7.91%,-0.26%,5.81%
2046,-4.93%,-0.75%,-1.55%,-15.68%,-8.10%,14.90%,-12.37%,-3.67%
2047,65.02%,0.65%,-1.10%,-6.49%,-18.49%,11.45%,8.44%,21.16%
2048,54.24%,-1.89%,-0.64%,-16.07%,-6.88%,51.55%,2.97%,22.61%
2049,-0.30%,-4.06%,-3.91%,-16.67%,-7.42%,15.25%,8.57%,-4.65%
2050,-70.81%,-16.63%,-5.54%,5.66%,1.81%,5.65%,8.18%,-22.76%
2051,105.76%,24.38%,0.83%,-5.39%,-3.77%,-13.95%,19.56%,48.98%
2052,14.03%,2.18%,3.85%,-7.36%,-14.54%,4.27%,17.16%,67.01%
2053,-20.17%,-0.29%,2.03%,-0.43%,-2.62%,-24.22%,10.06%,-8.40%
2054,1.05%,7.58%,2.76%,-11.48%,-9.41%,9.64%,-7.37%,-5.92%
2055,-1.13%,-2.51%,2.99%,1.21%,4.99%,-5.90%,-27.64%,-34.10%
2056,-12.72%,-23.09%,-2.73%,54.37%,36.48%,-7.64%,52.55%,26.42%
2057,15.99%,14.74%,2.14%,14.74%,3.28%,-14.18%,0.62%,-0.71%
2058,24.74%,8.95%,4.37%,-21.03%,-24.03%,-8.99%,-14.68%,-7.20%
2059,-3.59%,10.03%,5.75%,-7.36%,5.28%,-5.40%,2.59%,-3.80%
2060,13.09%,-2.05%,2.86%,15.68%,10.67%,0.63%,13.22%,6.08%
2061,33.09%,16.50%,4.40%,-13.48%,-15.28%,3.46%,1.79%,0.95%
2062,8.37%,3.54%,0.97%,13.75%,24.66%,8.65%,38.84%,66.95%
2063,11.25%,-12.30%,-3.60%,-7.22%,-14.47%,6.05%,-10.95%,-19.13%
2064,-44.51%,-7.34%,-3.75%,-15.42%,-19.61%,9.93%,-16.62%,-12.27%
2065,41.79%,-6.20%,0.66%,18.70%,22.05%,-6.75%,33.74%,17.94%
